0.000000000000000000e+00,2.356194490192344837e+00,-1.401799999999999935e+00,-1.812699999999999978e+00,-2.993700000000000028e+00,-8.857000000000000428e-01,-6.959999999999999520e-02,1.000000000000000000e+00
2.000000000000000042e-03,2.356194490192344837e+00,-1.401799999999999935e+00,-1.812699999999999978e+00,-2.993700000000000028e+00,-8.857000000000000428e-01,-6.959999999999999520e-02,1.000000000000000000e+00
4.000000000000000083e-03,2.356200178512690702e+00,-1.401799483407490721e+00,-1.812694800827308494e+00,-2.993705367554736263e+00,-8.856943276642955665e-01,-6.960055031494567779e-02,1.000000000000000000e+00
6.000000000000000125e-03,2.356211555094748888e+00,-1.401798450386319672e+00,-1.812684402354260316e+00,-2.993716102620325614e+00,-8.856829830516518287e-01,-6.960165094936746066e-02,1.000000000000000000e+00
8.000000000000000167e-03,2.356228619797786195e+00,-1.401796901329368294e+00,-1.812668804275165746e+00,-2.993732205089965515e+00,-8.856659663031488661e-01,-6.960330191515752551e-02,1.000000000000000000e+00
1.000000000000000021e-02,2.356251372410667511e+00,-1.401794836825065893e+00,-1.812648006133265932e+00,-2.993753674799748410e+00,-8.856432776305154242e-01,-6.960550323270234263e-02,1.000000000000000000e+00
1.200000000000000025e-02,2.356279812651855377e+00,-1.401792257657397345e+00,-1.812622007320747741e+00,-2.993780511528637334e+00,-8.856149173161304011e-01,-6.960825493088391991e-02,1.000000000000000000e+00
1.400000000000000029e-02,2.356313940169407317e+00,-1.401789164805884003e+00,-1.812590807078794608e+00,-2.993812714998434821e+00,-8.855808857130247347e-01,-6.961155704708173186e-02,1.000000000000000000e+00
1.600000000000000033e-02,2.356353754540974066e+00,-1.401785559445582141e+00,-1.812554404497618954e+00,-2.993850284873748269e+00,-8.855411832448835119e-01,-6.961540962717512049e-02,1.000000000000000000e+00
1.800000000000000211e-02,2.356399255273808002e+00,-1.401781442947074297e+00,-1.812512798516517476e+00,-2.993893220761941532e+00,-8.854958104060385304e-01,-6.961981272554738920e-02,1.000000000000000000e+00
2.000000000000000042e-02,2.356450441804753826e+00,-1.401776816876455278e+00,-1.812465987923933541e+00,-2.993941522213084294e+00,-8.854447677614758483e-01,-6.962476640508906411e-02,1.000000000000000000e+00
2.199999999999999872e-02,2.356507313500262768e+00,-1.401771682995314627e+00,-1.812413971357519804e+00,-2.993995188719902334e+00,-8.853880559468239042e-01,-6.963027073720368110e-02,1.000000000000000000e+00
2.400000000000000050e-02,2.356569869656385929e+00,-1.401766043260731287e+00,-1.812356747304215032e+00,-2.994054219717702470e+00,-8.853256756683592910e-01,-6.963632580181247644e-02,1.000000000000000000e+00
2.600000000000000228e-02,2.356638109498787159e+00,-1.401759899825246292e+00,-1.812294314100327153e+00,-2.994118614584313054e+00,-8.852576277029930996e-01,-6.964293168736165884e-02,1.000000000000000000e+00
2.800000000000000058e-02,2.356712032182743499e+00,-1.401753255036852330e+00,-1.812226669931622069e+00,-2.994188372640000040e+00,-8.851839128982720295e-01,-6.965008849082890419e-02,1.000000000000000000e+00
2.999999999999999889e-02,2.356791636793157618e+00,-1.401746111438965992e+00,-1.812153812833426025e+00,-2.994263493147385713e+00,-8.851045321723662873e-01,-6.965779631773173775e-02,1.000000000000000000e+00
3.200000000000000067e-02,2.356876922344556924e+00,-1.401738471770411332e+00,-1.812075740690727743e+00,-2.994343975311358985e+00,-8.850194865140694755e-01,-6.966605528213544452e-02,1.000000000000000000e+00
3.400000000000000244e-02,2.356967887781112658e+00,-1.401730338965392120e+00,-1.811992451238294777e+00,-2.994429818278979027e+00,-8.849287769827810513e-01,-6.967486550666326939e-02,1.000000000000000000e+00
3.600000000000000422e-02,2.357064531976640342e+00,-1.401721716153468522e+00,-1.811903942060791639e+00,-2.994521021139373129e+00,-8.848324047085052158e-01,-6.968422712250574302e-02,1.000000000000000000e+00
3.799999999999999906e-02,2.357166853734615763e+00,-1.401712606659521798e+00,-1.811810210592917691e+00,-2.994617582923627008e+00,-8.847303708918359266e-01,-6.969414026943195062e-02,1.000000000000000000e+00
4.000000000000000083e-02,2.357274851788185188e+00,-1.401703014003738534e+00,-1.811711254119534376e+00,-2.994719502604664463e+00,-8.846226768039462396e-01,-6.970460509580107822e-02,1.000000000000000000e+00
4.200000000000000261e-02,2.357388524800176910e+00,-1.401692941901564904e+00,-1.811607069775816425e+00,-2.994826779097134128e+00,-8.845093237865786495e-01,-6.971562175857445864e-02,1.000000000000000000e+00
4.399999999999999745e-02,2.357507871363116791e+00,-1.401682394263679798e+00,-1.811497654547406189e+00,-2.994939411257272255e+00,-8.843903132520276600e-01,-6.972719042332908845e-02,1.000000000000000000e+00
4.599999999999999922e-02,2.357632889999242476e+00,-1.401671375195960190e+00,-1.811383005270567947e+00,-2.995057397882772587e+00,-8.842656466831277928e-01,-6.973931126427120042e-02,1.000000000000000000e+00
4.800000000000000100e-02,2.357763579160514933e+00,-1.401659888999440939e+00,-1.811263118632358671e+00,-2.995180737712646479e+00,-8.841353256332419308e-01,-6.975198446425057153e-02,1.000000000000000000e+00
5.000000000000000278e-02,2.357899937228641551e+00,-1.401647940170278606e+00,-1.811137991170808315e+00,-2.995309429427067460e+00,-8.839993517262383360e-01,-6.976521021477644080e-02,1.000000000000000000e+00
5.200000000000000455e-02,2.358041962515088130e+00,-1.401635533399708144e+00,-1.811007619275096125e+00,-2.995443471647226907e+00,-8.838577266564792145e-01,-6.977898871603308018e-02,1.000000000000000000e+00
5.399999999999999939e-02,2.358189653261098861e+00,-1.401622673574000277e+00,-1.810871999185748482e+00,-2.995582862935167068e+00,-8.837104521888021758e-01,-6.979332017689666989e-02,1.000000000000000000e+00
5.600000000000000117e-02,2.358343007637718536e+00,-1.401609365774417748e+00,-1.810731126994832962e+00,-2.995727601793617634e+00,-8.835575301584968066e-01,-6.980820481495329799e-02,1.000000000000000000e+00
5.800000000000000294e-02,2.358502023745804532e+00,-1.401595615277166251e+00,-1.810584998646168620e+00,-2.995877686665822548e+00,-8.833989624712946798e-01,-6.982364285651634916e-02,1.000000000000000000e+00
5.999999999999999778e-02,2.358666699616061457e+00,-1.401581427553350245e+00,-1.810433609935534038e+00,-2.996033115935361479e+00,-8.832347511033348253e-01,-6.983963453664691901e-02,1.000000000000000000e+00
6.199999999999999956e-02,2.358837033209048695e+00,-1.401566808268915443e+00,-1.810276956510896706e+00,-2.996193887925964638e+00,-8.830648981011565146e-01,-6.985618009917220206e-02,1.000000000000000000e+00
6.400000000000000133e-02,2.359013022415213268e+00,-1.401551763284602625e+00,-1.810115033872633727e+00,-2.996360000901322707e+00,-8.828894055816667308e-01,-6.987327979670709954e-02,1.000000000000000000e+00
6.600000000000000311e-02,2.359194664741879333e+00,-1.401536289390613144e+00,-1.809947855600930300e+00,-2.996531414614681310e+00,-8.827082768222553888e-01,-6.989096056630463016e-02,1.000000000000000000e+00
6.800000000000000488e-02,2.359381958567493776e+00,-1.401520411360724250e+00,-1.809775380452252502e+00,-2.996708204106914852e+00,-8.825215118985577645e-01,-6.990916933427700208e-02,1.000000000000000000e+00
7.000000000000000666e-02,2.359574901254964274e+00,-1.401504126385078708e+00,-1.809597621705724579e+00,-2.996890329011271170e+00,-8.823291142324802827e-01,-6.992793304804614807e-02,1.000000000000000000e+00
7.200000000000000844e-02,2.359773490416737562e+00,-1.401487441099209752e+00,-1.809414574276159815e+00,-2.997077787350581168e+00,-8.821310862199663871e-01,-6.994725199581218467e-02,1.000000000000000000e+00
7.399999999999999634e-02,2.359977723593066123e+00,-1.401470362336954878e+00,-1.809226232929707079e+00,-2.997270577085256793e+00,-8.819274303294062367e-01,-6.996712647446221012e-02,1.000000000000000000e+00
7.599999999999999811e-02,2.360187598254241070e+00,-1.401452897126581165e+00,-1.809032592286466734e+00,-2.997468696114394149e+00,-8.817181490994114856e-01,-6.998755678980957129e-02,1.000000000000000000e+00
7.799999999999999989e-02,2.360403111800629894e+00,-1.401435052690724214e+00,-1.808833646820761087e+00,-2.997672142275547902e+00,-8.815032451387778689e-01,-7.000854325662059230e-02,1.000000000000000000e+00
8.000000000000000167e-02,2.360624261562702220e+00,-1.401416836446314429e+00,-1.808629390861430597e+00,-2.997880913344486586e+00,-8.812827211264602223e-01,-7.003008619864073414e-02,1.000000000000000000e+00
8.200000000000000344e-02,2.360851044801064003e+00,-1.401398256004504850e+00,-1.808419818592129635e+00,-2.998095007034952353e+00,-8.810565798115392866e-01,-7.005218594862229475e-02,1.000000000000000000e+00
8.400000000000000522e-02,2.361083458352500664e+00,-1.401379308688165404e+00,-1.808204944633528655e+00,-2.998314377594723634e+00,-8.808248252455735949e-01,-7.007487300588653711e-02,1.000000000000000000e+00
8.600000000000000699e-02,2.361321500048987776e+00,-1.401360023451579284e+00,-1.807984721723008059e+00,-2.998539109416403114e+00,-8.805874578506172057e-01,-7.009808741673762000e-02,1.000000000000000000e+00
8.799999999999999489e-02,2.361565166581520270e+00,-1.401340398021034828e+00,-1.807759164182135558e+00,-2.998769156624083720e+00,-8.803444818239474223e-01,-7.012185968806665393e-02,1.000000000000000000e+00
8.999999999999999667e-02,2.361814454934771934e+00,-1.401320440778341281e+00,-1.807528265620290675e+00,-2.999004516682754140e+00,-8.800959001916435209e-01,-7.014619018925385974e-02,1.000000000000000000e+00
